outcome_id,study_id,population_id,contrast_id,condition_id,timing_level,modifier,analyte,domain,metric,auc_definition,window_min,timepoint_min,result_form,n,value,dispersion_type,dispersion_value,ci_low,ci_high,p_value,units_original,direction,comparator,data_status,source_provenance,notes
O0215,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_iAUC,,,late chronotype,glucose,glucose_auc,24-h iAUC model contrast,incremental,1440,,model_contrast,23,26,95% CI,,-13,190,0.748,mmol/L×min,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0216,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_mean,Stutz_2024_late_morning,earlier,late chronotype,glucose,cgm_postprandial,24-h mean,,1440,,condition_summary,23,6.06,SD,0.38,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0217,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_mean,Stutz_2024_late_evening,later,late chronotype,glucose,cgm_postprandial,24-h mean,,1440,,condition_summary,23,6.05,SD,0.43,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0218,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_mean,,,late chronotype,glucose,cgm_postprandial,24-h mean model contrast,,1440,,model_contrast,23,-0.01,95% CI,,-0.12,0.11,0.876,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0219,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_highest,Stutz_2024_late_morning,earlier,late chronotype,glucose,peak_glucose,24-h highest,,1440,,condition_summary,23,9.74,SD,1.46,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0220,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_highest,Stutz_2024_late_evening,later,late chronotype,glucose,peak_glucose,24-h highest,,1440,,condition_summary,23,9.42,SD,1.17,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0221,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_highest,,,late chronotype,glucose,peak_glucose,24-h highest model contrast,,1440,,model_contrast,23,-0.32,95% CI,,-0.89,0.24,0.251,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0222,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_lowest,Stutz_2024_late_morning,earlier,late chronotype,glucose,cgm_postprandial,24-h lowest,,1440,,condition_summary,23,4.46,SD,0.65,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0223,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_lowest,Stutz_2024_late_evening,later,late chronotype,glucose,cgm_postprandial,24-h lowest,,1440,,condition_summary,23,4.51,SD,0.46,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0224,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_lowest,,,late chronotype,glucose,cgm_postprandial,24-h lowest model contrast,,1440,,model_contrast,23,0.05,95% CI,,-0.24,0.34,0.719,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0225,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_SD,Stutz_2024_late_morning,earlier,late chronotype,glucose,glycemic_variability,24-h SD,,1440,,condition_summary,23,0.87,SD,0.24,,,,percent ratio difference,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0226,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_SD,Stutz_2024_late_evening,later,late chronotype,glucose,glycemic_variability,24-h SD,,1440,,condition_summary,23,0.86,SD,0.2,,,,percent ratio difference,,,reported_table,Stutz_2024; PDF p7; Table 2,
